exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,bimestre,tipo
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,136000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,136000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,10146.63,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,7.46,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,10146.63,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,7.46,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitasImobiliarias,Exploração do Patrimônio Imobiliário do Estado,125853.37,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasDeValoresMobiliarios,Valores Mobiliários,10549000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasDeValoresMobiliarios,Valores Mobiliários,10678000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasDeValoresMobiliarios,Valores Mobiliários,1162596.81,2018,1,Receita
